Tempering_time_(s) Tempering_temperature_(ºC) C(%wt) Mn(%wt) P(%wt) S(%wt) Si(%wt) Ni(%wt) Cr(%wt) Mo(%wt) V(%wt) Al(%wt) Cu(%wt) Final_hardness_(HRC)_post_tempering
86400 260 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 43.9
86400 315.6 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 40.9
86400 371.1 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 35.4
86400 426.7 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 27.8
86400 482.2 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 23.3
86400 537.8 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 16.1
86400 593.3 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 6.5
86400 648.9 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 0.9
86400 704.4 0.31 0.57 0.008 0.025 0.09 0.02 0.02 0 0 0 0 2.3
600 204.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 52.3
600 260 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 50.4
600 315.6 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 46.8
600 371.1 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 44.3
600 426.7 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 38.6
600 482.2 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 33.4
600 537.8 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 28.4
600 593.3 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 25.5
600 648.9 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 20.9
600 704.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 15.0
3600 204.4 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 51.5
3600 260 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 48.9
3600 315.6 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 46.4
3600 371.1 0.36 0.74 0.019 0.03 0.24 0.02 0.02 0.01 0 0 0 41.7
