"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %",YieldStress
0.153,0.425,1.02,0.102,0.03825,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,385.0
0.102,0.425,0.51,0.085,0.03825,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,264.0
0.102,0.425,0.51,0.085,0.03825,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,183.0
0.102,0.425,0.51,0.085,0.03825,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,150.0
0.102,0.425,0.51,0.085,0.03825,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,190.0
0.102,0.425,0.51,0.085,0.03825,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,157.0
0.102,0.425,0.51,0.085,0.03825,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,146.0
0.119,0.6375,1.7,0.068,0.01275,0.17,0.0,0.0,0.85225,0.00425,0.0,0.0,0.0,284.0
0.119,0.6375,1.7,0.068,0.01275,0.17,0.0,0.0,0.85225,0.00425,0.0,0.0,0.0,335.0
0.1275,0.6375,2.125,0.034,0.01275,0.17,0.0,0.0,1.27725,0.00425,0.0,0.0,0.0,351.0
0.153,0.68,1.87,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,425.0
0.204,1.7,1.87,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,460.0
0.153,0.85,2.125,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,645.0
0.2125,1.87,2.125,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,469.0
0.153,0.68,2.125,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,514.0
0.1955,0.85,2.295,0.068,0.01275,0.187,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,865.0
0.17,0.85,2.465,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,626.0
0.1955,0.85,2.465,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,693.0
0.153,0.425,1.7,0.0425,0.0085,0.1275,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,360.0
0.153,0.425,1.7,0.0425,0.0085,0.1275,0.0,0.0,1.70225,0.0085,0.0,0.0,0.0,540.0
0.119,0.85,1.87,0.07225,0.01275,0.17,0.0,0.0,0.08725,0.00425,0.0,0.0,0.0,396.0
0.153,0.68,1.87,0.068,0.01275,0.17,0.0,0.0,1.70225,0.0425,0.0,0.0,0.0,690.0
0.153,0.85,2.125,0.068,0.01275,0.17,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,702.2
0.2125,0.68,2.295,0.068,0.01275,0.255,0.0,0.0,1.70225,0.00425,0.0,0.0,0.0,835.0
0.0085,0.255,0.51,0.051,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,190.0
0.051,0.425,0.595,0.051,0.02125,0.0,0.0765,0.102,0.01725,0.0,0.0,0.0,0.0,223.7
0.0085,0.255,0.595,0.051,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,210.0
0.068,0.425,0.595,0.07225,0.02125,0.0,0.0765,0.102,0.01725,0.0,0.0,0.0,0.0,225.0
0.0085,0.255,0.765,0.068,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,234.0
0.085,0.425,0.85,0.085,0.0255,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,254.0
0.0935,0.425,0.85,0.0255,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.0,282.0
0.0085,0.255,1.36,0.085,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,266.0
0.0935,0.425,0.68,0.102,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,328.0
0.102,0.425,1.19,0.0255,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.0,317.0
0.01275,0.255,1.36,0.085,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,330.0
0.0935,0.425,0.68,0.102,0.02125,0.0,0.0765,0.102,0.0115,0.0,0.0,0.0,0.0,370.0
0.102,0.425,1.19,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.0,359.0
0.102,0.425,1.275,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.0,384.0
0.102,0.425,1.36,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.0,440.0
0.1275,0.425,1.445,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.0,460.0
0.1275,0.425,1.445,0.0255,0.02125,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.0,500.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0
0.17,0.51,1.445,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0
0.102,0.425,0.51,0.085,0.03825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.7
0.102,0.425,0.51,0.04675,0.02975,0.0,0.0,0.255,0.0115,0.0,0.0,0.0,0.17,220.0
0.085,0.425,0.425,0.02125,0.017,0.0,0.0,0.255,0.0115,0.0,0.0,0.0,0.17,190.0
0.068,0.425,0.425,0.02125,0.017,0.0,0.0,0.255,0.0115,0.0,0.0,0.0,0.17,175.0
0.051,0.425,0.34,0.02125,0.017,0.0,0.0,0.255,0.0115,0.0,0.0,0.0,0.17,160.0
0.017,0.425,0.255,0.017,0.017,0.0,0.0,0.255,0.0115,0.0,0.0,0.0,0.17,140.0
0.0085,0.425,0.17,0.017,0.017,0.0,0.0,0.17,0.0115,0.0,0.0,0.0,0.17,140.0
0.085,0.425,0.85,0.068,0.0255,0.0,0.085,0.1275,0.01725,0.0,0.0,0.0,0.17,255.0
0.085,0.425,0.85,0.0255,0.02125,0.0,0.0765,0.1275,0.01725,0.0,0.0,0.0,0.17,280.0
