Standard,SteelGrade,"wt_C, %","wt_Si, %","wt_Mn, %","wt_P, %","wt_S, %","wt_V, %","wt_Nb, %","wt_Ti, %","wt_Al, %","wt_B, %","wt_Cr, %","wt_Ni, %","wt_Cu, %","wt_As, %",YieldStress,TensileStrength,Elongation
EN 10268:2013,HC180Y,0.0085,0.255,0.595,0.051,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,217,352,38.5
EN 10268:2013,HC220B,0.068,0.425,0.595,0.07225,0.0255,0,0,0,0.01725,0,0,0,0,0,245,360,35.2
EN 10268:2013,HC220I,0.0595,0.425,0.51,0.0425,0.02125,0,0,0.0425,0.01725,0,0,0,0,0,245,340,37.4
EN 10268:2013,HC220Y,0.0085,0.255,0.765,0.068,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,248,375,36.3
EN 10268:2013,HC260B,0.085,0.425,0.85,0.085,0.0255,0,0,0,0.01725,0,0,0,0,0,298,393,31.9
EN 10268:2013,HC260I,0.0595,0.425,1.02,0.0425,0.02125,0,0,0.0425,0.01725,0,0,0,0,0,285,360,35.2
EN 10268:2013,HC260LA,0.085,0.425,0.85,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,298,400,28.6
EN 10268:2013,HC260Y,0.0085,0.255,1.36,0.085,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,283,407,34.1
EN 10268:2013,HC300B,0.085,0.425,0.85,0.102,0.0255,0,0,0,0.01725,0,0,0,0,0,317,447,28.6
EN 10268:2013,HC300I,0.068,0.425,0.595,0.068,0.02125,0,0,0.0425,0.01725,0,0,0,0,0,325,390,33
EN 10268:2013,HC300LA,0.102,0.425,1.19,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,313,430,25.8
EN 10268:2013,HC340LA,0.102,0.425,1.275,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,362,456,23.1
EN 10268:2013,HC380LA,0.102,0.425,1.36,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,428,489,22
EN 10268:2013,HC420LA,0.119,0.425,1.36,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,462,521,18.7
EN 10268:2013,HC460LA,0.119,0.51,1.53,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,537,588,14.3
EN 10268:2013,HC500LA,0.119,0.51,1.53,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,469,584,13.2
EN 10130:2006,DC01,0.102,0,0.51,0.03825,0.03825,0,0,0,0,0,0,0,0,0,212,328,33.5
EN 10130:2006,DC03,0.085,0,0.3825,0.02975,0.02975,0,0,0,0,0,0,0,0,0,231,347,37.4
EN 10130:2006,DC04,0.068,0,0.34,0.0255,0.0255,0,0,0,0,0,0,0,0,0,167,303,41.8
EN 10130:2006,DC05,0.051,0,0.2975,0.02125,0.02125,0,0,0,0,0,0,0,0,0,145,285,44
EN 10130:2006,DC06,0.017,0,0.2125,0.017,0.017,0,0,0.255,0,0,0,0,0,0,148,300,45.1
EN 10130:2006,DC07,0.0085,0,0.17,0.017,0.017,0,0,0.17,0,0,0,0,0,0,135,290,48.4
EN 10346:2015,DX51D,0.153,0.425,1.02,0.102,0.03825,0,0,0.255,0,0,0,0,0,0,385,385,24.2
EN 10346:2015,DX52D,0.102,0.425,0.51,0.085,0.03825,0,0,0.255,0,0,0,0,0,0,264,360,28.6
EN 10346:2015,DX53D,0.102,0.425,0.51,0.085,0.03825,0,0,0.255,0,0,0,0,0,0,183,306,33
EN 10346:2015,DX54D,0.102,0.425,0.51,0.085,0.03825,0,0,0.255,0,0,0,0,0,0,150,314,37.4
EN 10346:2015,DX55D,0.102,0.425,0.51,0.085,0.03825,0,0,0.255,0,0,0,0,0,0,190,320,33
EN 10346:2015,DX56D,0.102,0.425,0.51,0.085,0.03825,0,0,0.255,0,0,0,0,0,0,157,298,40.7
EN 10346:2015,DX57D,0.102,0.425,0.51,0.085,0.03825,0,0,0.255,0,0,0,0,0,0,146,301,39.9
EN 10346:2015,HCT450X,0.119,0.6375,1.7,0.068,0.01275,0.17,0,0,0.85225,0.00425,0,0,0,0,284,464,29.7
EN 10346:2015,HCT490X,0.119,0.6375,1.7,0.068,0.01275,0.17,0,0,0.85225,0.00425,0,0,0,0,335,539,26.4
EN 10346:2015,HCT590X,0.1275,0.6375,2.125,0.034,0.01275,0.17,0,0,1.27725,0.00425,0,0,0,0,351,660,22
EN 10346:2015,HCT600C,0.153,0.68,1.87,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,425,660,17.6
EN 10346:2015,HCT690T,0.204,1.7,1.87,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,460,725,25.3
EN 10346:2015,HCT780C,0.153,0.85,2.125,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,645,858,11
EN 10346:2015,HCT780T,0.2125,1.87,2.125,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,469,817,23.1
EN 10346:2015,HCT780X,0.153,0.68,2.125,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,514,800,15.4
EN 10346:2015,HCT980C,0.1955,0.85,2.295,0.068,0.01275,0.187,0,0,1.70225,0.00425,0,0,0,0,865,1078,6.6
EN 10346:2015,HCT980X,0.17,0.85,2.465,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,626,1010,11.3
EN 10346:2015,HCT980XG,0.1955,0.85,2.465,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,693,1025,11.1
EN 10346:2015,HDT450F,0.153,0.425,1.7,0.0425,0.0085,0.1275,0,0,1.70225,0.00425,0,0,0,0,360,495,26.4
EN 10346:2015,HDT580F,0.153,0.425,1.7,0.0425,0.0085,0.1275,0,0,1.70225,0.0085,0,0,0,0,540,638,16.5
EN 10346:2015,HDT580X,0.119,0.85,1.87,0.07225,0.01275,0.17,0,0,0.08725,0.00425,0,0,0,0,396,639,20.9
EN 10346:2015,HDT750C,0.153,0.68,1.87,0.068,0.01275,0.17,0,0,1.70225,0.0425,0,0,0,0,690,825,11
EN 10346:2015,HDT760C,0.153,0.85,2.125,0.068,0.01275,0.17,0,0,1.70225,0.00425,0,0,0,0,702.2,802.1,12.6
EN 10346:2015,HDT950C,0.2125,0.68,2.295,0.068,0.01275,0.255,0,0,1.70225,0.00425,0,0,0,0,835,1078,9.9
EN 10346:2015,HX160YD,0.0085,0.255,0.51,0.051,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,190,330,40.7
EN 10346:2015,HX180BD,0.051,0.425,0.595,0.051,0.02125,0,0.0765,0.102,0.01725,0,0,0,0,0,223.7,302.5,37.4
EN 10346:2015,HX180YD,0.0085,0.255,0.595,0.051,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,210,325,37.4
EN 10346:2015,HX220BD,0.068,0.425,0.595,0.07225,0.02125,0,0.0765,0.102,0.01725,0,0,0,0,0,225,355,33
EN 10346:2015,HX220YD,0.0085,0.255,0.765,0.068,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,234,385,35.2
EN 10346:2015,HX260BD,0.085,0.425,0.85,0.085,0.0255,0,0.0765,0.102,0.0115,0,0,0,0,0,254,370,30.8
EN 10346:2015,HX260LAD,0.0935,0.425,0.85,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,282,387,27.6
EN 10346:2015,HX260YD,0.0085,0.255,1.36,0.085,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,266,428,33
EN 10346:2015,HX300BD,0.0935,0.425,0.68,0.102,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,328,459,28.6
EN 10346:2015,HX300LAD,0.102,0.425,1.19,0.0255,0.02125,0,0.0765,0.1275,0.01725,0,0,0,0,0,317,415,31
EN 10346:2015,HX300YD,0.01275,0.255,1.36,0.085,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,330,430,29.7
EN 10346:2015,HX340BD,0.0935,0.425,0.68,0.102,0.02125,0,0.0765,0.102,0.0115,0,0,0,0,0,370,480,26.4
EN 10346:2015,HX340LAD,0.102,0.425,1.19,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0,0,359,439,28
EN 10346:2015,HX380LAD,0.102,0.425,1.275,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0,0,384,498,20.9
EN 10346:2015,HX420LAD,0.102,0.425,1.36,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0,0,440,547,18.7
EN 10346:2015,HX460LAD,0.1275,0.425,1.445,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0,0,460,549,16.5
EN 10346:2015,HX500LAD,0.1275,0.425,1.445,0.0255,0.02125,0,0.085,0.1275,0.01725,0,0,0,0,0,500,591,14.3
EN 10346:2015,S220GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,242,330,22
EN 10346:2015,S250GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,275,363,20.9
EN 10346:2015,S280GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,354,441,19.8
EN 10346:2015,S320GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,352,429,18.7
EN 10346:2015,S350GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,385,462,17.6
EN 10346:2015,S390GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,429,506,17.6
EN 10346:2015,S420GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,462,528,16.5
EN 10346:2015,S450GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,495,561,15.4
EN 10346:2015,S550GD,0.17,0.51,1.445,0.085,0.03825,0,0,0,0,0,0,0,0,0,605,616,14.3
Arcelor,DC01/DX51_arcelor_arcelor_arcelor,0.102,0.425,0.51,0.085,0.03825,0,0,0,0,0,0,0,0,0,326.7,0,0
